metric,metric_group,unit,n,sum,min,p05,q1,median,mean,trimmed_mean_10pct,q3,p95,max,range,iqr,mode_values,mode_frequency,population_variance,population_stddev,sample_variance,sample_stddev,median_absolute_deviation,coefficient_of_variation_percent,quantile_method
run_duration_ms,operational,ms,30,1775496,58635,58730.15,58980,59236.5,59183.2,59196.166667,59354.25,59547.75,59593,958,374.25,,1,67310.96,259.443558,69632.027586,263.878812,180.5,0.445868,linear_(n-1)*p
command_count,operational,count,30,3945,129,129,132,132,131.5,131.5,132,133.65,135,6,0,132,21,2.45,1.565248,2.534483,1.592006,0,1.210651,linear_(n-1)*p
baseline_app_standby_ms,public_api_baseline,ms,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,,linear_(n-1)*p
baseline_device_idle_ms,public_api_baseline,ms,30,901424,30040,30043,30045,30046,30047.466667,30046.875,30049,30057.55,30058,18,4,30046,7,19.382222,4.402525,20.050575,4.477787,2,0.014902,linear_(n-1)*p
baseline_minimum_latency_ms,public_api_baseline,ms,30,901424,30040,30043,30045,30046,30047.466667,30046.875,30049,30057.55,30058,18,4,30046,7,19.382222,4.402525,20.050575,4.477787,2,0.014902,linear_(n-1)*p
final_app_standby_ms,public_api_final,ms,30,1962745,65251,65272.9,65291.75,65499.5,65424.833333,65428.708333,65517.5,65542.1,65575,324,225.75,65298;65503,2,13054.405556,114.255878,13504.557471,116.209111,37,0.177622,linear_(n-1)*p
final_device_idle_ms,public_api_final,ms,30,1512624,50252,50261.05,50293.5,50494.5,50420.8,50426.083333,50511,50533.95,50556,304,217.5,50290;50511;50517,2,12681.493333,112.612137,13118.786207,114.53727,32.5,0.227163,linear_(n-1)*p
final_minimum_latency_ms,public_api_final,ms,30,1512624,50252,50261.05,50293.5,50494.5,50420.8,50426.083333,50511,50533.95,50556,304,217.5,50290;50511;50517,2,12681.493333,112.612137,13118.786207,114.53727,32.5,0.227163,linear_(n-1)*p
job_age_conservative_lower_ms,job_age,ms,30,1510520,50180,50190,50220,50430,50350.666667,50357.083333,50440,50460,50470,290,220,50220;50440,6,12819.555556,113.223476,13261.609195,115.15906,30,0.228714,linear_(n-1)*p
job_age_conservative_upper_ms,job_age,ms,30,1516130,50370,50370,50410,50610,50537.666667,50543.75,50630,50645.5,50680,310,220,50610,6,12751.222222,112.92131,13190.91954,114.851729,30,0.22726,linear_(n-1)*p
job_age_app_clock_lower_ms,job_age,ms,30,1512615,50251,50260.5,50293.5,50494.5,50420.5,50425.875,50510.5,50533.4,50555,304,217,50517,2,12699.316667,112.691245,13137.224138,114.61773,32.5,0.227324,linear_(n-1)*p
job_age_app_clock_upper_ms,job_age,ms,30,1512639,50252,50262.05,50293.75,50495.5,50421.3,50426.583333,50511,50533.95,50557,305,217.25,50296;50511,2,12666.543333,112.545739,13103.32069,114.469737,31.5,0.227027,linear_(n-1)*p
union_reference_lower_ms,interval_reference,ms,30,586710,19540,19540,19550,19560,19557,19556.666667,19560,19575.5,19580,40,10,19560,12,101,10.049876,104.482759,10.221681,10,0.052266,linear_(n-1)*p
union_reference_upper_ms,interval_reference,ms,30,610100,20170,20180,20202.5,20415,20336.666667,20342.916667,20437.5,20440,20460,290,235,20440,7,12822.222222,113.235252,13264.367816,115.171037,25,0.566322,linear_(n-1)*p
additive_reference_lower_ms,interval_reference,ms,30,1036310,34520,34520,34540,34540,34543.666667,34543.75,34550,34565.5,34570,50,10,34540;34550,10,156.555556,12.512216,161.954023,12.726116,10,0.036841,linear_(n-1)*p
additive_reference_upper_ms,interval_reference,ms,30,1077680,35750,35764.5,35792.5,36000,35922.666667,35927.5,36017.5,36035.5,36070,320,225,36000;36030,5,13346.222222,115.525851,13806.436782,117.500795,30,0.327094,linear_(n-1)*p
collapsed_prediction_lower_ms,implementation_prediction,ms,30,1951170,64870,64894.5,64910,65110,65039,65043.75,65130,65150,65160,290,220,65130,5,12209,110.494344,12630,112.383273,35,0.172794,linear_(n-1)*p
collapsed_prediction_upper_ms,implementation_prediction,ms,30,1982740,65910,65919,65962.5,66160,66091.333333,66097.083333,66190,66200,66260,350,227.5,66170,5,13404.888889,115.779484,13867.126437,117.758764,40,0.178176,linear_(n-1)*p
app_standby_minus_age_upper_ms,headline_margin,ms,30,446615,14848,14871,14881,14884,14887.166667,14887.333333,14895,14906.85,14916,68,14,14883,3,171.072222,13.079458,176.971264,13.303055,5.5,0.089359,linear_(n-1)*p
app_standby_minus_minimum_latency_ms,headline_margin,ms,30,450121,14985,14986.9,14995.5,15001,15004.033333,15003.041667,15010.5,15027.65,15034,49,15,14997,4,167.365556,12.936984,173.136782,13.158145,7,0.087697,linear_(n-1)*p
minimum_latency_minus_union_upper_ms,reference_margin,ms,30,902524,30071,30074.8,30079.25,30082.5,30084.133333,30083.75,30088.75,30097.1,30099,28,9.5,30077,5,53.048889,7.283467,54.878161,7.40798,5.5,0.024624,linear_(n-1)*p
minimum_latency_minus_additive_upper_ms,reference_margin,ms,30,434944,14477,14481.9,14492.25,14499,14498.133333,14498.166667,14504,14511,14525,48,11.75,14499;14500,3,97.982222,9.898597,101.36092,10.067816,6,0.069442,linear_(n-1)*p
history_union_ms,history_exact,ms,30,600022,19847,19860.45,19875.25,20075.5,20000.733333,20005.125,20088.5,20108.05,20116,269,213.25,19867;20086;20087;20089,2,11699.928889,108.16621,12103.374713,110.015339,25.5,0.550057,linear_(n-1)*p
history_nested_battery_not_low_ms,history_exact,ms,30,458627,15277,15279.35,15284,15286,15287.566667,15286.958333,15289,15299.3,15306,29,5,15286;15289,4,39.378889,6.27526,40.736782,6.382537,3,0.04175,linear_(n-1)*p
history_contributor_additive_ms,history_exact,ms,30,1058649,35125,35143.45,35162.5,35358,35288.3,35292.125,35375.5,35404.95,35419,294,213,35373,3,12111.343333,110.051549,12528.975862,111.932908,30.5,0.317196,linear_(n-1)*p
history_collapsed_prediction_ms,history_exact,ms,30,1962745,65251,65272.9,65291.75,65499.5,65424.833333,65428.708333,65517.5,65542.1,65575,324,225.75,65298;65503,2,13054.405556,114.255878,13504.557471,116.209111,37,0.177622,linear_(n-1)*p
public_minus_exact_prediction_ms,model_residual,ms,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,,linear_(n-1)*p
charging_unsatisfied_offset_ms,transition_offset,ms,30,904096,30122,30122.45,30129,30134.5,30136.533333,30135.916667,30143,30155.55,30156,34,14,30130,3,98.515556,9.9255,101.912644,10.095179,6.5,0.033498,linear_(n-1)*p
battery_not_low_unsatisfied_offset_ms,transition_offset,ms,30,976417,32400,32405.25,32418.5,32625.5,32547.233333,32552,32639.25,32650.85,32657,257,220.75,32420;32629;32632;32641;32642,2,11855.445556,108.882715,12264.254023,110.744092,21,0.340257,linear_(n-1)*p
battery_not_low_satisfied_offset_ms,transition_offset,ms,30,1435044,47678,47692.9,47703.25,47912,47834.8,47839.208333,47926.25,47938,47963,285,223,47699;47911;47913;47920;47927;47938,2,12194.293333,110.427774,12614.786207,112.315565,25,0.234799,linear_(n-1)*p
charging_satisfied_offset_ms,transition_offset,ms,30,1504118,49973,49986.15,50006.75,50215.5,50137.266667,50141.916667,50225,50248.85,50269,296,218.25,50009;50217;50225,2,12617.662222,112.328368,13052.754023,114.24865,28.5,0.227872,linear_(n-1)*p
